reference,edition_id,sender_id,sender,receiver_id,receiver,date,place_id,place
https://edition-humboldt.de/H0016440,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/119074117,Hermann Schlagintweit-Sakünlünski,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1849-10-25,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0011540,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/115674667,Carl Sigismund Kunth,1849-12-09,http://sws.geonames.org/2852458,Potsdam
https://edition-humboldt.de/H0016559,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1849-12-24,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0019598,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118759086,Sir Robert Hermann Schomburgk,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1850-02-05,http://sws.geonames.org/3492908,Santo Domingo
https://edition-humboldt.de/H0016561,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1850-03-11,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016602,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1850-03-22,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016598,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1850-05-03,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016597,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1850-05-05,http://sws.geonames.org/2852458,Potsdam
https://edition-humboldt.de/H0016585,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1850-05-24,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016573,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1850-08-12,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016458,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118755234,Adolph von Schlagintweit,1850-08-21,http://sws.geonames.org/2852458,Potsdam
https://edition-humboldt.de/H0016599,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1850-10-17,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016600,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1850-10-18,http://sws.geonames.org/2852458,Potsdam
https://edition-humboldt.de/H0016604,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1851-04-09,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016499,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1851-04-20,http://sws.geonames.org/2950159,
